"ACP 30-2K",,,,,,,
"https://www.spherotech.com/PMT%20QC%20RECORD%20ACP-30-5K%20Rev.%20D.xls",,,,,,,
"MEAP",6720,17962,30866,51704,146080,,
,,,,,,,
"RCP-30-5 Lot AM02, AM01, AL01, AH01, AG01, AF01 & AD03",,,,,,,
"https://www.spherotech.com/RCP-30-5%20%20rev%20H%20-%20%2010-11-12.xls",,,,,,,
"MEPB",902.826150264251,2543.25777035562,7577.3103315121,19902.1552759773,35490.1854343577,,
"MEKO",4100.1862606147,13503.2020463521,45019.6494865316,152691.355293162,391037.895005993,,
"MEFL",4447,14227,46322,133924,276897,,
"MEPE",3236,10754,34842,104483,245894,,
"METR",1486,5112,17664,60371,179787,,
"MECY5.5",8737,28177,93996,334087,1023447,,
"MEPCY7",4447.52977431211,12826.6344100731,41676.365575392,149440.701418692,474797.252391984,,
"MEAP",2395,8273,27652,75669,145428,,
"MEA700",7850.64102564103,26574.358974359,87058.3333333333,232771.153846154,428898.076923077,,
"MEA750",643.319414830418,1682.85038466727,4905.43254465399,15637.5278759487,44664.1560269625,,
,,,,,,,
"RCP-60-5",,,,,,,
"https://www.spherotech.com/PMT%20QC%20RECORD%20RCP-60-5%20033116.xls",,,,,,,
"MECSB",751.643759068972,1920.57650587408,5279.84831730671,17646.2346728647,46326.3118984758,,
"MEBFP",2864.0329353713,8443.49646470612,26220.2573429104,100989.554710812,303460.407560259,,
"MEFL",4353.33008297943,13939.3805748209,43401.6051922607,159034.493056801,359570.84295444,,
"MEPE",3177.87432453532,9831.93042961122,31667.5628810337,126234.183762106,304230.63179907,,
"MEPTR",1249.10167677766,4450.58520313724,15543.94283828,67795.5145283527,149369.723878365,,
"MEPCY",15.8150373621659,5086.64305323489,16533.7622690629,53254.5341431493,213548.514439041,535345.766430253,
,,,,,,,
"URCP 38-2K",,,,,,,
"https://www.spherotech.com/PMT%20QC%20RECORD%20URCP-38-2K%20Rev%20E.xls and https://www.spherotech.com/PMT%20QC%20RECORD%20URCP-38-2K%20Rev%20F%20with%20BV%20(version%201).xls",,,,,,,
"MEBV421",211,1267,3519,8917,20718,,
"MEBV500",1750,6320,13155,28040,52715,,
"MEBV605",2300,8685,21000,58960,158765,,
"MECSB",211,1267,3519,8917,20718,,
"MEBFP",608,4104,11561,30735,72366,,
"MEFL",3635,31180,93455,237290,437385,,
"MEPE",2870,23850,67430,163085,319420,,
"MEPTR",7480,62600,184935,508840,1149085,,
"MEPCY5",630,10900,53125,250350,1109525,,
"MEPerCP",6800,34000,85330,216650,534585,,
"MEPerCPCy5.5",3115,20615,75070,309220,1272450,,
"MEPCY7",16460,62930,289710,1265380,,,
"MEAP",1400,8400,24000,57000,101500,,
"MEAlexa700",7720,65300,210450,563470,1274350,,
"MEAPCY7",1755,13655,43800,117260,257610,,
,,,,,,,
"URCP 38-2K Lot AN01, AM01, AL02, AL01, AK03, AK02, AK01, AJ02 & AJ03",,,,,,,
"https://www.spherotech.com/PMT%20QC%20RECORD%20URCP-38-2K%20Rev%20H-080417%20w%20BV%20Channles.xls",,,,,,,
"MEBV421",543,2418,5646,12601,28608,,
"MEBV510",1175,5189,12663,30220,72302,,
"MEBV605",883,3331.6464149406,8126.37672213155,21926.3325629935,63287.45416728,,
"MEBV650",3000.93657721926,7266.96915687983,20931.195845994,62364.6257039747,,,
"MEBV711",706.371218651242,2806.25617659897,6536.3741423501,19293.0554727062,56753.3744602146,,
"MEBV786",706.748702299005,2758.23102388779,6388.95396508851,19061.9810254142,56137.0077072925,,
"MEFL",3884,33300,97805,253325,484433,,
"MEPerCPCy5.5",603.044436159273,2993.43100035362,7241.2334144918,20027.1938003096,54740.5383527368,,
"MEPE",3107.83774255919,24809.3002510258,70842.9661903017,181769.458300597,347816.312804139,,
"MEPTR",6845,59229,175449,487544,1082135,,
"MEPCY5 (488 ex)",1192,15866,62567,299858,1305867,,
"MEPCY5 (561 ex)",15579,258556,1074152,4387781,13943895,,
"MEPCy5.5",6371.10927410355,31258.2726388408,75288.3558534389,211044.540217265,542552.430980202,,
"MECY7",14926,53996,282559,1368162,,,
"MEAP",1224,6275,16016,49490,109302,,
"MEAlexa700",6591.02998645881,42548.5504851513,125788.849777232,475002.69573088,1269504.83599914,,
"MEAPCY7",1494,9444,27262,101046,258585,,
"MEBUV395",871.141855176918,3857.76891199076,8428.28640168851,16978.9108417844,29323.3959547754,,
"MEBUV737",183.259605936699,785.83204702247,2025.88773461442,7453.30284333274,29429.229169638,,
,,,,,,,
"URCP 50-2K Lot AM01 & AJ01",,,,,,,
"https://www.spherotech.com/PMT%20QC%20RECORD%20URCP-50-2K%20ML%20040704%20Rev%20F.xls",,,,,,,
"MEBV421",553.069779590127,2688.24002627859,6206.37168246614,15217.7386666591,31977.7923579754,,
"MEBV510",1025.26689799175,4383.09920065957,15056.4249502571,38999.7688815165,83332.4222376615,,
"MEBV605",709.488157879778,3805.19098506487,8979.50618284471,26351.2615487229,45928.1493603154,,
"MEBV650",1019.75926894535,5239.75611798151,11479.5593728535,31915.4253433031,70341.7021485763,,
"MEBV711",1354.17337049447,7066.55939540903,14960.9218266887,41313.9874398959,100837.800463451,,
"MEBV786",706.748702299005,2758.23102388779,6388.95396508851,19061.9810254142,56137.0077072925,,
"MEFL",2601.82488607447,23545.8436109714,59292.4242759641,165160.426302325,331838.359003713,,
"MEPerCPCy5.5",1350.20092756121,13792.2877652179,40033.6068115353,171229.100849295,659334.053913482,,
"MEPE",2106.44797555202,17768.3884525601,45248.196768689,123615.682766542,234032.785605637,,
"MEPTR",1226.55300211598,11850.2867438131,30690.2606448733,86022.0614784648,166798.756993696,,
"MEPCY5 (488 ex)",1144.7161092547,15196.6416305133,46123.587062421,171320.367389561,452836.401230128,,
"MEPCY5 (561 ex)",1144.7161092547,15196.6416305133,46123.587062421,171320.367389561,452836.401230128,,
"MEPCy5.5",11628.3996442711,65451.0769345489,142185.562107704,401557.948615379,979320.213365762,,
"MECY7",1389.33665669744,17806.9766820921,57589.2401205632,292894.463825277,1205021.89058945,,
"MEAP",11452.646449399,84842.0267436591,203505.318422001,604708.533266664,1290472.19989895,,
"MEAlexa700",20616.5600284507,185848.147292231,486731.646398276,1702570.50723759,4437433.03758529,,
"MEAPCY7",2537.13182116939,22526.7252158067,58567.0220162963,202718.67988687,521885.134400135,,
,,,,,,,
"URCP 50-2K",,,,,,,
"https://www.spherotech.com/PMT%20QC%20RECORD%20URCP-50-2K%20Rev%20B.xls",,,,,,,
"MEFL",2615,22590,63305,155800,328880,,
"MEPE",2205,19085,54450,134910,248895,,
"MEPTR",1390,12155,35370,92185,199280,,
"MEPerCP",1840,16485,54070,195200,1074110,,
"MEPCY5",1270,11790,37800,127280,618430,,
"MEPerCPCy5.5",1280,11675,37440,127460,623165,,
"MEPCY7",1555,10910,37500,149310,1060350,,
"MEAP",6780,56850,160850,403930,919070,,
"MEAPCY7",1480,13305,38640,106285,417030,,
,,,,,,,
"URQP-38-6K",,,,,,,
"https://www.spherotech.com/URQP-38-6K%20Rev%20A.xls",,,,,,,
"ERF FITC",8020,71000,209000,499000,1030000,,
"ERF NILE RED",64900,653000,1710000,4410000,8930000,,
"ERF C30",52400,323000,995000,3830000,7170000,,
"ERF APC",1110,6480,18000,73300,331000,,
